Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2024-06-18 11:04:00,"Deadlift 1RPM",1h,"Deadlift (Barbell)",1,60.0,5.0,0,0.0,"","",
2024-06-18 11:04:00,"Deadlift 1RPM",1h,"Deadlift (Barbell)",2,80.0,3.0,0,0.0,,,
2024-06-18 11:04:00,"Deadlift 1RPM",1h,"Deadlift (Barbell)",3,100.0,1.0,0,0.0,,,
2024-06-18 11:04:00,"Deadlift 1RPM",1h,"Deadlift (Barbell)",4,110.0,1.0,0,0.0,,,
2024-06-18 11:04:00,"Deadlift 1RPM",1h,"Deadlift (Barbell)",5,120.0,1.0,0,0.0,,,
2024-06-18 11:04:00,"Deadlift 1RPM",1h,"Deadlift (Barbell)",6,130.0,1.0,0,0.0,,,
2024-06-18 11:04:00,"Deadlift 1RPM",1h,"Deadlift (Barbell)",7,140.0,1.0,0,0.0,,,
2024-06-18 11:04:00,"Deadlift 1RPM",1h,"Deadlift (Barbell)",F,150.0,0.0,0,0.0,,,
2024-06-19 17:01:00,"Legs",1h,"Squat (Barbell)",1,40.0,10.0,0,0.0,"","",
2024-06-19 17:01:00,"Legs",1h,"Squat (Barbell)",2,65.0,10.0,0,0.0,,,
2024-06-19 17:01:00,"Legs",1h,"Squat (Barbell)",3,65.0,10.0,0,0.0,,,
2024-06-19 17:01:00,"Legs",1h,"Squat (Barbell)",4,65.0,10.0,0,0.0,,,
2024-06-19 17:01:00,"Legs",1h,"Hip Thrust (Barbell)",1,40.0,8.0,0,0.0,"",,
2024-06-19 17:01:00,"Legs",1h,"Hip Thrust (Barbell)",2,75.0,8.0,0,0.0,,,
2024-06-19 17:01:00,"Legs",1h,"Hip Thrust (Barbell)",3,75.0,8.0,0,0.0,,,
2024-06-19 17:01:00,"Legs",1h,"Hip Thrust (Barbell)",4,75.0,8.0,0,0.0,,,
2024-06-19 17:01:00,"Legs",1h,"Romanian Deadlift (Barbell)",1,80.0,8.0,0,0.0,"",,
2024-06-19 17:01:00,"Legs",1h,"Romanian Deadlift (Barbell)",2,100.0,8.0,0,0.0,,,
2024-06-19 17:01:00,"Legs",1h,"Romanian Deadlift (Barbell)",3,100.0,8.0,0,0.0,,,
2024-06-19 17:01:00,"Legs",1h,"Romanian Deadlift (Barbell)",4,100.0,8.0,0,0.0,,,
2024-06-19 17:01:00,"Legs",1h,"Lying Leg Curl (Machine)",1,40.0,8.0,0,0.0,"",,
2024-06-19 17:01:00,"Legs",1h,"Lying Leg Curl (Machine)",2,40.0,8.0,0,0.0,,,
2024-06-19 17:01:00,"Legs",1h,"Lying Leg Curl (Machine)",3,45.0,8.0,0,0.0,,,
2024-06-19 17:01:00,"Legs",1h,"Split Squat (Kettlebell)",1,12.0,10.0,0,0.0,"",,
2024-06-19 17:01:00,"Legs",1h,"Split Squat (Kettlebell)",2,12.0,10.0,0,0.0,,,
2024-06-19 17:01:00,"Legs",1h,"Split Squat (Kettlebell)",3,12.0,10.0,0,0.0,,,
2024-06-19 17:01:00,"Legs",1h,"Ball Side Throw",1,15.0,11.0,0,0.0,"",,
2024-06-19 17:01:00,"Legs",1h,"Ball Side Throw",2,15.0,12.0,0,0.0,,,
2024-06-19 17:01:00,"Legs",1h,"Ball Side Throw",3,15.0,11.0,0,0.0,,,
2024-06-19 17:01:00,"Legs",1h,"Ball Side Throw",4,15.0,11.0,0,0.0,,,
2024-06-19 17:01:00,"Legs",1h,"Ball Slams",1,15.0,13.0,0,0.0,"",,
2024-06-19 17:01:00,"Legs",1h,"Ball Slams",2,15.0,12.0,0,0.0,,,
